,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
0,Kiku-chan to Ookami,00:45:00,Finished Airing,Special,1,PG,Adventure,none,none,Shin-Ei Animation,543,0,2008-08-13,none,none,none,none,none
1,Cornelis,00:04:00,Finished Airing,Movie,1,G,Comedy,none,none,none,492,0,2008-01-01,none,none,none,none,none
2,Joleobban,01:21:00,Finished Airing,Movie,1,R+,"Drama,Romance",none,none,Studio Dadashow,1638,1,Dec 29, 2016,none,none,none,none
3,Sugio: Mori de Koi wo Shite,00:04:00,Finished Airing,ONA,3,G,Comedy,none,none,DLE,497,0,Sep 27, 2015,none,none,none,none
4,Chirico,00:04:00,Finished Airing,Movie,1,PG 13,Avant Garde,none,none,none,743,0,2008-04-01,none,none,none,none,none
5,Teo the Magic Planet Pilot,00:09:00,Finished Airing,Special,1,G,"Adventure,Fantasy",none,none,none,242,0,1997-01-01,none,none,none,none,none
6,Momotarou Densetsu,00:22:00,Finished Airing,TV,51,G,"Comedy,Adventure",none,TV Tokyo,Knack Productions,664,1,1989-10-02,1990-10-01,mon,18:30:00,Fall,1989
7,Koko ni Iru,00:02:00,Finished Airing,ONA,1,G,Slice of Life,none,Mad Box,"add some,None found,",832,0,2010-01-01,none,none,none,none,none
8,Visual Prison,00:24:00,Finished Airing,TV,12,PG 13,Supernatural,none,"CMI,Aniplex,ABC Animation",A-1 Pictures,38571,464,2021-10-09,2021-12-25,sat,00:00:00,Fall,2021
9,Mahoutsukai Tai! (TV),00:24:00,Finished Airing,TV,13,PG 13,"Comedy,Sci-Fi,Romance,Fantasy","Media Blasters,Nozomi Entertainment,NYAV Post",Bandai Visual,"Triangle Staff,Madhouse",11201,24,1999-07-07,1999-10-06,wed,19:00:00,Summer,1999
10,Yu Bang Xiang Zheng,00:10:00,Finished Airing,Movie,1,G,none,none,Shanghai Animation Film Studio,none,878,1,1984-02-01,none,none,none,none,none
11,Hulaing Babies,00:05:00,Finished Airing,TV,12,PG 13,"Comedy,Slice of Life",none,none,Fukushima Gaina,3929,2,Jan 11, 2019 to Mar 29,fri,22:30:00,Winter,2019
12,Toho Cinemas & I Love Snoopy: The Peanuts Movie Collab Logo Eizou,28 sec.,Finished Airing,Movie,1,G,Comedy,none,Toho,none,406,1,Dec 1, 2014,none,none,none,none
13,Love Live! School Idol Project 2nd Season,00:23:00,Finished Airing,TV,13,PG 13,"Slice of Life,Award Winning","NIS America, Inc.","Lantis,Bushiroad,Bandai Visual",Sunrise,252422,2747,2014-04-06,2014-06-29,sun,22:30:00,Spring,2014
14,Kami no Tou,00:23:00,Finished Airing,TV,13,PG 13,"Mystery,Adventure,Fantasy,Action,Drama",VIZ Media,"Crunchyroll,Sola Entertainment,Rialto Entertainment,Naver Webtoons,IRMA LA DOUCE,Sega",Telecom Animation Film,874655,6222,2020-04-02,2020-06-25,thur,00:30:00,Spring,2020
15,Wotaku ni Koi wa Muzukashii OVA,00:23:00,Finished Airing,OVA,3,PG 13,Romance,none,"Fujipacific Music,Aniplex,Half H.P Studio","Lapin Track,A-1 Pictures",195185,473,2019-03-29,2021-10-14,none,none,none,none
16,Boku no Hero Academia 4th Season,00:24:00,Finished Airing,TV,25,PG 13,Action,Funimation,"Dentsu,Yomiuri Telecasting,Shueisha,Sony Music Entertainment,Movic,TOHO animation",Bones,1642135,8208,2019-10-12,2020-04-04,sat,17:30:00,Fall,2019
17,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,00:31:00,Finished Airing,Movie,1,PG 13,"Comedy,Supernatural,Action,Adventure",VIZ Media,Fuji TV,Studio Deen,16296,7,1994-08-20,none,none,none,none,none
18,Lemon Angel (1988),00:03:00,Finished Airing,TV,9,R+,Ecchi,none,Pony Canyon,AIC,1943,1,Feb 3, 1988 to Mar 30,none,none,Winter,1988
19,Fumetsu no Anata e Season 2,00:25:00,Finished Airing,TV,20,R 17,"Drama,Supernatural,Adventure",none,"NHK,NHK Enterprises,Kodansha",Drive,247233,1444,2022-10-23,2023-03-12,sun,19:00:00,Fall,2022
20,Jakusansei Million Arthur: Forever Kakusansei Million Arthur,00:02:00,Finished Airing,ONA,1,PG 13,"Fantasy,Comedy,Ecchi",none,none,none,750,1,Apr 19, 2017,none,none,none,none
21,Mayoi Neko Overrun! Specials,00:03:00,Finished Airing,Special,6,R+,"Comedy,Ecchi",none,none,AIC,18823,12,2010-06-25,2010-11-26,none,none,none,none
22,Hello Kitty no Circus ga Yatte Kita,00:27:00,Finished Airing,OVA,1,G,Fantasy,none,Sanrio,none,504,1,Jul 21, 1992,none,none,none,none
23,Mini Moni the TV,00:01:00,Finished Airing,TV,15,G,Comedy,none,none,none,721,2,Sep 8, 2003 to Sep 26,none,none,Summer,2003
24,Yang Jia Jiang: Zhan Pengcheng,00:13:00,Finished Airing,TV,26,PG,Fantasy,none,none,none,45,0,Not available,none,none,none,?,none
25,Five Star Stories,01:05:00,Finished Airing,Movie,1,R+,"Action,Drama,Fantasy,Sci-Fi",ADV Films,Kadokawa Shoten,Sunrise,13001,45,1989-03-11,none,none,none,none,none
26,Top wo Nerae! Gunbuster Specials,00:02:00,Finished Airing,Special,3,PG 13,none,none,none,Gainax,6538,0,Nov 25, 2000 to Mar 25,none,none,none,none
27,Minarai Diva,00:49:00,Finished Airing,TV,10,G,none,none,"NOTTV,Bouncy",Yaoyorozu,1868,4,Jul 14, 2014 to Sep 22,none,none,Summer,2014
28,Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,00:20:00,Finished Airing,ONA,15,PG 13,"Fantasy,Action",none,"iQIYI,High Energy Studio,Xuanshi Tangmen",CG Year,475,4,2023-01-14,2023-04-15,none,none,none,none
29,Battle Spirits: Brave,00:24:00,Finished Airing,TV,50,PG,"Adventure,Sci-Fi",none,Nagoya Broadcasting Network,Sunrise,4132,20,2010-09-12,2011-09-11,sun,07:00:00,Fall,2010
30,Soul Eater: Late Night Show,00:01:00,Finished Airing,Special,51,PG 13,"Action,Comedy,Fantasy",Funimation,"TV Tokyo,Media Factory,Aniplex,Dentsu",Bones,26879,39,Apr 2008 to Mar 2009,none,none,none,none,none
31,Karuizawa Syndrome,01:09:00,Finished Airing,OVA,1,R+,"Slice of Life,Drama,Romance,Comedy",none,"Shogakukan,Kitty Films",Kitty Film Mitaka Studio,1083,1,Mar 21, 1986,none,none,none,none
32,Odd Taxi,00:23:00,Finished Airing,TV,13,PG 13,"Mystery,Award Winning",none,"TV Tokyo,Pony Canyon Enterprise,Crunchyroll,Dentsu,AT-X,Pony Canyon,Yoshimoto Kogyo","OLM,P.I.C.S.",393748,7691,2021-04-06,2021-06-29,tue,02:00:00,Spring,2021
33,Mahou Shoujo Lyrical Nanoha: The Movie 2nd As Mini Picture Drama,00:03:00,Finished Airing,Special,2,PG 13,Comedy,none,Shochiku,none,1593,0,Mar 22, 2013,none,none,none,none
34,Kimagure Orange☆Road: Shounen Jump Special,00:24:00,Finished Airing,OVA,1,PG 13,"Romance,Drama",none,none,Pierrot,4384,6,1985-11-23,none,none,none,none,none
35,Kenyuu Densetsu Yaiba,00:22:00,Finished Airing,TV,52,PG 13,"Fantasy,Comedy,Action",none,"TV Tokyo,Shogakukan-Shueisha Productions",Pastel,8907,41,1993-04-09,1994-04-01,fri,18:30:00,Spring,1993
36,Xue Hai Zi: Zhengjiu Jiayuan,00:15:00,Finished Airing,TV,26,PG,Fantasy,none,none,none,43,0,2010 to ?,none,none,none,?,none
37,Watashi no Shiawase na Kekkon,00:23:00,Currently Airing,TV,12,PG 13,"Fantasy,Romance",none,"Glovision,Square Enix,Toy's Factory,Bandai Namco Music Live,Miracle Bus",Kinema Citrus,89151,556,2023-07-05,none,wed,23:30:00,Summer,2023
38,Youkai Watch!,00:24:00,Finished Airing,TV,36,G,"Comedy,Supernatural",none,none,"OLM,Magic Bus",3315,3,2019-04-05,2019-12-20,fri,18:25:00,Spring,2019
39,Idol Fight Suchie-Pai 2,00:30:00,Finished Airing,OVA,1,PG 13,"Action,Ecchi",Hirameki International,"Nippon Columbia,Darts",Daume,1936,0,Apr 20, 1996,none,none,none,none
40,Ginga Eiyuu Densetsu Gaiden (1999),00:26:00,Finished Airing,OVA,28,R 17,"Drama,Action,Sci-Fi",Sentai Filmworks,"Wright Staff,Tokuma Shoten,Tokuma Japan",K-Factory,19552,25,1999-12-24,2000-07-21,none,none,none,none
41,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,00:59:00,Finished Airing,Movie,1,R 17,Sci-Fi,Funimation,"Bandai Visual,Dentsu,flying DOG,TOHO animation,Kodansha",Production I.G,40427,23,2014-09-06,none,none,none,none,none
42,Ongaku Shoujo (TV),00:23:00,Finished Airing,TV,12,PG 13,Slice of Life,none,King Records,Studio Deen,15810,30,2018-07-06,2018-09-21,fri,23:00:00,Summer,2018
43,Doraemon Movie 13: Nobita to Kumo no Oukoku,01:40:00,Finished Airing,Movie,1,PG,"Adventure,Comedy",none,none,none,7289,5,1992-03-07,none,none,none,none,none
44,Pingu in the City (2018),00:07:00,Finished Airing,TV,26,G,"Comedy,Slice of Life",none,"Mattel Creations,NHK Enterprises,NHK",Polygon Pictures,10037,114,2018-10-06,2019-03-30,sat,09:20:00,Fall,2018
45,Yi Ren Zhi Xia Recap,00:24:00,Finished Airing,Special,1,R 17,"Supernatural,Action",none,none,Haoliners Animation League,6449,6,2018-01-10,none,none,none,none,none
46,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,00:24:00,Finished Airing,TV,11,R 17,"Action,Drama",none,"Universal Pictures Japan,TV Asahi",Trans Arts,1738,2,Jul 6, 2006 to Sep 21,thur,02:40:00,Summer,2006
47,Tensei shitara Slime Datta Ken OVA,00:23:00,Finished Airing,OVA,5,PG 13,"Comedy,Action,Adventure,Fantasy",none,none,8bit,217219,499,2019-07-09,2020-11-27,none,none,none,none
48,Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,00:18:00,Finished Airing,ONA,4,PG 13,"Fantasy,Action,Adventure",none,bilibili,"Original Force,Wonder Cat Animation",2229,9,2021-01-31,2021-02-14,none,none,none,none
49,Xie Wang Zhui Qi: Yishi Qingcheng,00:23:00,Finished Airing,ONA,12,PG 13,"Comedy,Romance,Fantasy,Action,Drama",none,"High Energy Studio,iQIYI","Big Firebird Culture,KJJ Animation",8342,44,2020-12-04,2021-02-19,none,none,none,none
50,Masuda Kousuke Gekijou Gag Manga Biyori +,00:05:00,Finished Airing,TV,12,PG 13,Comedy,none,"Bandai Visual,Shueisha,Kids Station,Yomiuri Telecasting",Studio Deen,2458,1,2010-01-05,2010-06-29,tue,02:14:00,Winter,2010
51,Romantic Killer,00:26:00,Finished Airing,ONA,12,PG 13,"Supernatural,Comedy,Romance",none,"Netflix,Shueisha",domerica,161052,2222,2022-10-27,none,none,none,none,none
52,Mao Zhi Ming Specials,00:05:00,Finished Airing,ONA,5,G,Comedy,none,none,"add some,None found,",462,2,2022-02-10,2022-03-10,none,none,none,none
53,Boku no Hero Academia: Hero Note,00:23:00,Finished Airing,Special,1,PG 13,Action,Funimation,none,Bones,180531,606,2017-03-25,none,none,none,none,none
54,Dragon Ball Kai (2014),00:23:00,Finished Airing,TV,61,PG 13,"Comedy,Action,Fantasy,Adventure",Funimation,none,Toei Animation,181718,753,2014-04-06,2015-06-28,sun,09:00:00,Spring,2014
55,Inazuma Eleven: Outer Code,00:05:00,Finished Airing,ONA,6,G,Sports,none,"OLM,Level-5",none,7719,7,2016-11-04,2017-08-19,none,none,none,none
56,Chou Akuukan Bouheki Cheese Napolitan,00:02:00,Finished Airing,ONA,1,PG 13,none,none,Khara,none,1444,0,Dec 29, 2013,none,none,none,none
57,Chogattai Majutsu Robot Ginguiser,00:24:00,Finished Airing,TV,26,PG 13,"Adventure,Action,Sci-Fi",none,none,"Ashi Productions,Nippon Animation",1133,3,Apr 9, 1977 to Oct 22,none,none,Spring,1977
58,Cutey Honey F,00:23:00,Finished Airing,TV,39,PG 13,"Adventure,Comedy,Romance,Action,Sci-Fi",none,"Toei Advertising,Dynamic Planning",Toei Animation,9731,28,1997-02-15,1998-01-31,sat,19:00:00,Winter,1997
59,Shin Kidou Senki Gundam Wing: Frozen Teardrop Picture Drama - Aratanaru Tatakai,00:16:00,Finished Airing,Special,1,PG 13,"Sci-Fi,Action",none,Sotsu,Sunrise,3806,3,2014-01-29,none,none,none,none,none
60,Higashi no Eden,00:23:00,Finished Airing,TV,11,R 17,"Suspense,Award Winning,Romance,Mystery,Sci-Fi",Funimation,"Dentsu,Asmik Ace,Fuji TV,Sony Music Entertainment",Production I.G,551585,4174,2009-04-10,2009-06-19,fri,00:45:00,Spring,2009
61,Chao You Bing,00:08:00,Finished Airing,ONA,4,R 17,"Fantasy,Comedy",none,KJJ Animation,none,3821,5,Apr 25, 2014 to Aug 20,none,none,none,none
62,Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack,00:46:00,Finished Airing,Special,1,PG 13,"Comedy,Sci-Fi",none,none,Toei Animation,904,0,Jul 25, 1981,none,none,none,none
63,Shisha no Sho,01:09:00,Finished Airing,Movie,1,PG 13,"Award Winning,Drama,Supernatural",none,"Sakura Eiga-sha,Sakura Motion Picture",none,1642,3,Jul 8, 2005,none,none,none,none
64,Blend S,00:23:00,Finished Airing,TV,12,PG 13,Comedy,Aniplex of America,"Kinoshita Group Holdings,Aniplex,Houbunsha,Contents Seed,Kansai Telecasting,Lawson,Drecom",A-1 Pictures,638697,2934,2017-10-08,2017-12-24,sun,00:30:00,Fall,2017
65,Dimension W: W no Tobira Online - Rose no Onayami Soudanshitsu,00:03:00,Finished Airing,Special,5,G,Sci-Fi,Funimation,none,Studio 3Hz,11252,9,Mar 25, 2016 to Aug 26,none,none,none,none
66,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow Announcement,00:02:00,Finished Airing,ONA,1,PG 13,"Suspense,Comedy,Fantasy",none,none,White Fox,1482,3,2017-09-09,none,none,none,none,none
67,Xinnian Lai La: Shenqi Wugong,00:13:00,Finished Airing,TV,26,PG,Fantasy,none,none,none,35,0,2017 to ?,none,none,none,?,none
68,Attack No.1: Namida no Fushichou,01:00:00,Finished Airing,Movie,1,PG 13,"Drama,Sports",none,Tokyo Movie Shinsha,"add some,None found,",916,0,1971-03-17,none,none,none,none,none
69,Sushi Police Movie,00:45:00,Finished Airing,Movie,1,PG 13,"Comedy,Mystery",none,none,none,94,0,Jul 9, 2016,none,none,none,none
70,Shuffle!,00:24:00,Finished Airing,TV,24,R+,"Fantasy,Drama,Comedy,Ecchi,Romance",Funimation,"Memory-Tech,Xebec,Lantis,KlockWorx,Kadokawa Shoten",asread.,273973,1469,2005-07-08,2006-01-06,fri,00:30:00,Summer,2005
71,Pokemon,00:24:00,Finished Airing,TV,276,PG,"Comedy,Action,Adventure,Fantasy","VIZ Media,4Kids Entertainment","TV Tokyo,TV Tokyo Music,Studio Jack",OLM,609803,5150,1997-04-01,2002-11-14,thur,19:00:00,Spring,1997
72,Bakumatsu no Spasibo,01:25:00,Finished Airing,Movie,1,PG,none,none,none,Magic Bus,1625,1,1997-09-20,none,none,none,none,none
73,Abenobashi Mahou☆Shoutengai,00:24:00,Finished Airing,TV,13,R+,"Comedy,Award Winning,Fantasy,Ecchi","ADV Films,Sentai Filmworks","Starchild Records,Dentsu,Rakuonsha,Imagica,King Records","Madhouse,Gainax",87308,334,2002-04-04,2002-06-27,thur,22:00:00,Spring,2002
74,Shoujo Nosferatu,00:06:00,Finished Airing,Movie,1,G,"Horror,Avant Garde",none,Geidai Animation,"add some,None found,",684,1,2017-01-01,none,none,none,none,none
75,"Kanojo, Okarishimasu 2nd Season: Kanokari Call",50 sec. per ep.,Finished Airing,Special,24,PG 13,"Comedy,Romance",none,none,TMS Entertainment,1780,10,2022-10-26,2023-01-25,none,none,none,none
76,Yuu☆Yuu☆Hakusho Picture Drama,00:06:00,Finished Airing,Special,1,PG 13,"Comedy,Action",none,none,Pierrot,11114,11,2009-10-27,none,none,none,none,none
77,Ying Xiong Bie Nao,00:12:00,Finished Airing,ONA,13,None,"Action,Fantasy",none,none,Vasoon Animation,434,1,Jul 1, 2015 to Nov 4,none,none,none,none
78,Yojouhan Shinwa Taikei Specials,00:06:00,Finished Airing,Special,3,PG 13,Comedy,none,none,Madhouse,26518,21,2010-08-20,2010-11-26,none,none,none,none
79,Ishida to Asakura Special,00:01:00,Finished Airing,Special,1,PG 13,Comedy,none,DAX Production,Hotline,3404,1,Mar 31, 2013,none,none,none,none
80,Tata Tu Ran Xiang Dao,00:03:00,Finished Airing,ONA,12,G,Comedy,none,none,none,98,0,Jul 8, 2020 to Sep 23,none,none,none,none
81,Lupin the Third: Mine Fujiko to Iu Onna,00:22:00,Finished Airing,TV,13,R+,"Award Winning,Comedy,Adventure,Action,Ecchi","Discotek Media,Funimation","Tohokushinsha Film Corporation,Po10tial,Nippon Television Network",TMS Entertainment,61376,473,2012-04-05,2012-06-28,thur,01:29:00,Spring,2012
82,Persona 3 the Movie 1: Spring of Birth,01:38:00,Finished Airing,Movie,1,R 17,"Fantasy,Supernatural,Action",Aniplex of America,"Yomiko Advertising,Index,Aniplex,Atlus",AIC ASTA,114285,524,2013-11-23,none,none,none,none,none
83,Wo de Maoxian Shijie 2nd Season,00:11:00,Finished Airing,ONA,16,G,"Comedy,Adventure",none,none,none,47,0,2017-07-07,none,none,none,none,none
84,Black Jack: Karte NG Extras,00:08:00,Finished Airing,Special,1,G,Comedy,none,Tezuka Productions,"add some,None found,",1443,1,2007-04-04,none,none,none,none,none
85,Honda-san x Taka no Tsume,00:03:00,Finished Airing,ONA,1,G,Comedy,none,none,DLE,1054,0,Nov 3, 2018,none,none,none,none
86,Bungou Stray Dogs: Hitori Ayumu,00:23:00,Finished Airing,OVA,1,PG 13,"Action,Mystery,Supernatural",Funimation,none,Bones,163703,331,2017-08-04,none,none,none,none,none
87,Boku no Hero Academia the Movie 1: Futari no Hero,01:36:00,Finished Airing,Movie,1,PG 13,Action,Funimation,"TOHO animation,Shueisha,Toho Music",Bones,718148,1393,2018-08-03,none,none,none,none,none
88,Kidou Senshi SD Gundam Matsuri,01:21:00,Finished Airing,Movie,1,PG,"Comedy,Action,Fantasy",none,none,Sunrise,2119,1,Mar 13, 1993,none,none,none,none
89,Akagami no Shirayuki-hime,00:24:00,Finished Airing,TV,12,PG 13,"Drama,Fantasy,Romance",Funimation,"KlockWorx,Hakusensha,Showgate,Warner Bros. Japan",Bones,647524,7332,2015-07-07,2015-09-22,tue,00:00:00,Summer,2015
90,Cosmos Pink Shock,00:35:00,Finished Airing,OVA,1,PG 13,"Comedy,Sci-Fi",none,Victor Entertainment,AIC,2885,6,Jul 21, 1986,none,none,none,none
91,Nobunaga-sensei no Osanazuma,00:07:00,Finished Airing,TV,12,R+,"Romance,Comedy,Ecchi",none,none,Seven,80347,102,Apr 6, 2019 to Jun 22,sat,23:20:00,Spring,2019
92,Soukou Kihei Votoms: Koei Futatabi,00:49:00,Finished Airing,OVA,1,PG 13,"Action,Drama,Sci-Fi",none,none,Sunrise,3123,1,2011-01-08,none,none,none,none,none
93,Mahou no Star Magical Emi: Kumo Hikaru,00:14:00,Finished Airing,OVA,1,G,"Slice of Life,Comedy",none,none,Ajia-do,1046,1,2002-05-25,none,none,none,none,none
94,Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,00:15:00,Finished Airing,TV,60,PG,"Comedy,Sports",none,none,none,196,0,2008-10-23,none,none,none,?,none
95,"Haikyuu!! vs. ""Akaten""",00:24:00,Finished Airing,OVA,1,PG 13,Sports,none,none,Production I.G,89504,79,2016-05-02,none,none,none,none,none
96,Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race,00:52:00,Finished Airing,Movie,1,PG 13,"Sci-Fi,Comedy",Discotek Media,none,Toei Animation,1525,0,1983-03-13,none,none,none,none,none
97,Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da.,00:05:00,Finished Airing,ONA,1,G,none,none,none,Sunrise,1296,2,2022-01-11,none,none,none,none,none
98,Zoku Naniwa Yuukyouden,00:58:00,Finished Airing,OVA,1,R+,"Comedy,Action",none,none,Toei Animation,381,0,Jun 25, 1992,none,none,none,none
99,Shonan Junai Gumi!,00:46:00,Finished Airing,OVA,5,R+,"Comedy,Action",none,Japan Home Video,"J.C.Staff,Life Work",43814,161,1994-01-21,1997-01-24,none,none,none,none
100,Queens Blade: Rurou no Senshi Specials,00:02:00,Finished Airing,Special,6,R+,"Fantasy,Adventure,Ecchi,Action",Media Blasters,"Media Factory,Hobby Japan,Genco",Arms,15217,9,2009-06-25,2009-11-25,none,none,none,none
101,Ansatsu Kyoushitsu: Deai no Jikan,00:10:00,Finished Airing,Special,1,PG 13,"Comedy,Action",Funimation,none,Lerche,131908,229,2014-11-09,none,none,none,none,none
102,Ill/CKBC,00:30:00,Finished Airing,OVA,2,PG 13,"Sports,Action",Media Blasters,"Aniplex,SME Visual Works",M.S.C,5437,6,2002-12-18,2003-03-26,none,none,none,none
103,Kyoufu no Bio Ningen Saishuu Kyoushi,00:56:00,Finished Airing,OVA,1,PG 13,"Adventure,Supernatural,Action,Comedy",Central Park Media,"animate Film,Sony Music Entertainment,Movic",J.C.Staff,4131,10,Feb 6, 1988,none,none,none,none
104,Yu☆Gi☆Oh! Go Rush!!,00:24:00,Currently Airing,TV,0,PG 13,"Action,Fantasy",none,none,Bridge,5034,43,2022-04-03,none,sun,07:30:00,Spring,2022
105,Dog Days: Limone Resort Tenbou Onsen!,00:11:00,Finished Airing,Special,1,PG 13,"Ecchi,Fantasy",none,none,Seven Arcs Pictures,8532,5,2015-08-26,none,none,none,none,none
106,UP Miao Zhiwu Kepu 2nd Season,00:02:00,Finished Airing,TV,26,PG,Fantasy,none,none,none,48,0,2016 to ?,none,none,none,?,none
107,One Piece,00:24:00,Currently Airing,TV,0,PG 13,"Action,Fantasy,Adventure","4Kids Entertainment,Funimation","TAP,Shueisha,Fuji TV",Toei Animation,2186129,200996,1999-10-20,none,sun,09:30:00,Fall,1999
108,Towel Story,00:02:00,Finished Airing,ONA,4,G,Slice of Life,none,none,Pops Inc.,496,1,Aug 24, 2011 to Jun 3,none,none,none,none
109,Vampiyan Kids Promotion,00:02:00,Finished Airing,Special,1,G,"Comedy,Fantasy",none,none,Production I.G,296,0,1999-01-01,none,none,none,none,none
110,Taisei Kensetsu CMs,30 sec. per ep.,Finished Airing,Special,6,G,Drama,none,none,CoMix Wave Films,3888,0,Dec 10, 2008 to Mar 20,none,none,none,none
111,Honoo no Alpenrose: Ai no Symphony Ongaku-hen,00:29:00,Finished Airing,OVA,1,G,"Drama,Romance",none,none,Tatsunoko Production,515,0,Not available,none,none,none,none,none
112,Yanesenondo,00:01:00,Finished Airing,ONA,1,G,none,none,none,none,543,0,Jul 30, 2009,none,none,none,none
113,Mangirl!: Asobu Henshuu Girl,00:09:00,Finished Airing,Special,1,PG 13,"Comedy,Slice of Life",none,Earth Star Entertainment,Doga Kobo,7129,1,May 24, 2013,none,none,none,none
114,Yousei Dick,00:20:00,Finished Airing,TV,26,PG,Fantasy,none,"Grouper Productions,Marubeni",none,701,5,Jun 7, 1992 to Dec 6,none,none,Summer,1992
115,Kemono Jihen,00:23:00,Finished Airing,TV,12,R 17,"Mystery,Supernatural,Action",Funimation,"JTB Next Creation,Bandai Namco Arts,Shueisha,Frontier Works,Yomiuri TV Enterprise,Lantis",Ajia-do,354789,2187,2021-01-10,2021-03-28,sun,22:00:00,Winter,2021
116,Dead Mount Death Play,00:23:00,Finished Airing,TV,12,R 17,"Fantasy,Supernatural,Action",none,"Crunchyroll,Kadokawa Media House,Square Enix,F.M.F,Movic,Half H.P Studio,Geek Pictures,King Records",Geek Toys,153824,865,2023-04-11,2023-06-27,tue,00:00:00,Spring,2023
117,Bastard!! Ankoku no Hakaishin (ONA),00:25:00,Finished Airing,ONA,13,R+,"Fantasy,Comedy,Action,Adventure,Ecchi",none,"Shueisha,Warner Bros. Japan",LIDENFILMS,60178,257,2022-06-30,none,none,none,none,none
118,Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,00:03:00,Finished Airing,Special,6,R+,"Comedy,Ecchi",Funimation,none,SILVER LINK.,38234,21,2012-12-26,2013-05-29,none,none,none,none
119,Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,00:15:00,Finished Airing,TV,60,PG,"Comedy,Adventure",none,none,none,188,0,Jul 17, 2020 to Jul 26,none,none,Summer,2020
120,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,01:30:00,Finished Airing,Movie,1,PG 13,"Drama,Supernatural,Romance",Aniplex of America,"Aniplex,Tokyo MX,Nagoya Broadcasting Network,BS11,Kadokawa,ABC Animation,Hakuhodo DY Music & Pictures",CloverWorks,669911,9940,2019-06-15,none,none,none,none,none
121,"Tokyo Dai Kuushuu: Aoyo, Kaette Koi",00:20:00,Finished Airing,OVA,1,PG,Drama,none,none,none,154,0,1987-01-01,none,none,none,none,none
122,Xue Yu Huo: Xin Zhongguo Shi Zheyang Lian Cheng De,00:03:00,Finished Airing,ONA,30,PG 13,Drama,none,none,none,80,0,Jun 1, 2021 to Jul 5,none,none,none,none
123,Ojisan to Marshmallow,00:03:00,Finished Airing,TV,12,PG 13,"Comedy,Slice of Life",none,"DAX Production,Dream Creation",Creators in Pack,65378,83,2016-01-08,2016-03-25,fri,01:00:00,Winter,2016
124,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,00:27:00,Finished Airing,TV,13,R 17,"Drama,Suspense,Fantasy",none,"Memory-Tech,Kadokawa Media House,AT-X,Kadokawa,Hakuhodo DY Music & Pictures",White Fox,1049085,11383,2020-07-08,2020-09-30,wed,22:30:00,Summer,2020
125,Xi Yangyang Yu Hui Tailang: Tu Nian Ding Gua Gua,01:27:00,Finished Airing,Movie,1,G,"Adventure,Comedy",none,"Alpha Group Co. Ltd.,Creative Power Entertaining",none,512,0,Jan 21, 2011,none,none,none,none
126,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,00:30:00,Finished Airing,OVA,3,PG 13,"Comedy,Adventure,Romance,Fantasy,Drama",none,TV Asahi,Toei Animation,10092,10,1996-12-13,1997-06-21,none,none,none,none
127,Tenki no Ko,01:52:00,Finished Airing,Movie,1,PG 13,"Drama,Fantasy,Award Winning,Romance",GKIDS,"JR East Marketing & Communications,Toho,Lawson Entertainment,STORY,Kadokawa,Lawson HMV Entertainment,voque ting",CoMix Wave Films,935815,11745,2019-07-19,none,none,none,none,none
128,World Heroes,00:02:00,Finished Airing,Special,1,PG 13,"Action,Supernatural,Sci-Fi,Fantasy",none,none,none,89,0,1993-01-01,none,none,none,none,none
129,Break Blade Movie 4: Sanka no Chi,00:49:00,Finished Airing,Movie,1,R 17,"Action,Fantasy",Sentai Filmworks,KlockWorx,"Xebec,Production I.G",57152,27,2010-10-30,none,none,none,none,none
130,Pac-World,00:25:00,Finished Airing,TV,52,PG,"Adventure,Sci-Fi,Comedy",none,Bandai Namco Entertainment,OLM Digital,2546,3,Apr 5, 2014 to Apr 25,sat,18:30:00,Spring,2014
131,Yowamushi Pedal: Grande Road,00:23:00,Finished Airing,TV,24,PG 13,Sports,Discotek Media,"TV Tokyo,MediaNet,Akita Shoten,TOHO animation",TMS Entertainment,135585,495,2014-10-07,2015-03-31,tue,01:35:00,Fall,2014
132,Yuukai Anna,00:26:00,Finished Airing,Movie,1,R 17,"Action,Adventure,Romance",none,none,Studio Deen,1662,0,Jul 21, 2018,none,none,none,none
