,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
4381,Tensai Bakavon: Yomigaeru Flanders no Inu,01:25:00,Finished Airing,Movie,1,G,Comedy,none,none,DLE,388,0,May 23, 2015,none,none,none,none
4382,Hakumei no Tsubasa,00:06:00,Finished Airing,ONA,7,PG,"Comedy,Action,Adventure,Fantasy",none,none,"Studio Colorido,FILMONY",21460,60,2020-01-15,2020-08-06,none,none,none,none
4383,Shi Wan Ge Leng Xiaohua Movie 1,01:40:00,Finished Airing,Movie,1,PG 13,"Fantasy,Comedy,Adventure,Action",none,Yaoqi,L²Studio,746,1,2015-01-01,none,none,none,none,none
4384,Abstract feat. Alkama,00:02:00,Finished Airing,Movie,1,G,Avant Garde,none,none,none,747,0,Aug 19, 2017,none,none,none,none
4385,Noragami Aragoto OVA,00:23:00,Finished Airing,OVA,2,PG 13,"Fantasy,Comedy",none,none,Bones,252794,364,2015-11-17,2016-03-17,none,none,none,none
4386,High School DxD New,00:26:00,Finished Airing,TV,12,R+,"Comedy,Action,Romance,Ecchi",Funimation,"AT-X,Fujimi Shobo,Q-Tec,Media Factory,Movic,Lantis,Genco,Showgate",TNK,886468,4483,2013-07-07,2013-09-22,sun,20:30:00,Summer,2013
4387,The Snack World,00:08:00,Finished Airing,Movie,1,G,"Adventure,Fantasy,Comedy",none,Level-5,"OLM,OLM Digital",391,0,Dec 19, 2015,none,none,none,none
4388,Gear Fighter Dendoh,00:23:00,Finished Airing,TV,38,PG,"Sci-Fi,Action,Adventure",none,Yomiko Advertising,Sunrise,3539,16,2000-10-04,2001-06-27,wed,18:00:00,Fall,2000
4389,Kero Kero Keroppi no Bouken: Pink no Kinoko,00:10:00,Finished Airing,OVA,1,G,Fantasy,none,Sanrio,none,477,0,Jun 21, 1993,none,none,none,none
4390,Fate/Zero 2nd Season,00:24:00,Finished Airing,TV,12,R 17,"Action,Supernatural,Fantasy",Aniplex of America,"Nitroplus,Aniplex,Notes,Seikaisha",ufotable,1079447,20137,2012-04-08,2012-06-24,sun,00:00:00,Spring,2012
4391,Tsugumomo,00:24:00,Finished Airing,TV,12,R+,"Ecchi,Supernatural,Comedy,Action","Funimation,Crunchyroll","Hakuhodo DY Music & Pictures,Toei Video,Hakuhodo,Futabasha,My Theater D.D.,Kakao Japan,Studio NOIX,Animax,Pony Canyon",Zero-G,192413,488,2017-04-02,2017-06-18,sun,23:30:00,Spring,2017
4392,Wu Buxiang,00:13:00,Finished Airing,TV,52,PG,none,none,none,none,75,0,Nov 2009 to ?,none,none,none,?,none
4393,Elf-ban Kakyuusei: Anata dake wo Mitsumete...,00:27:00,Finished Airing,OVA,4,R+,"Drama,Romance",none,"Pink Pineapple,KSS",PP Project,3592,5,1997-11-24,1998-06-26,none,none,none,none
4394,Made in Japan,00:09:00,Finished Airing,Movie,1,G,Comedy,none,none,none,488,1,1972-01-01,none,none,none,none,none
4395,Tabi no Kisetsu,00:19:00,Finished Airing,OVA,1,G,Drama,none,Gakken,none,212,1,2000-01-01,none,none,none,none,none
4396,Tabi,00:12:00,Finished Airing,Movie,1,PG 13,Fantasy,none,none,none,1288,2,1973-01-01,none,none,none,none,none
4397,Hi no Tori: Hagoromo-hen,00:21:00,Finished Airing,Movie,1,G,Drama,none,Tezuka Productions,"add some,None found,",586,0,2004-07-17,none,none,none,none,none
4398,Mei Chuxi de Yinyangshi Yijia,00:05:00,Finished Airing,ONA,12,PG 13,"Supernatural,Slice of Life,Comedy",none,none,Green Monster Team,1459,3,2019-04-27,2019-07-13,none,none,none,none
4399,Tobira wo Akete,01:21:00,Finished Airing,Movie,1,R+,"Adventure,Action,Sci-Fi,Fantasy",none,Kitty Films,Magic Bus,2632,0,Nov 1, 1986,none,none,none,none
4400,Gunjou no Magmell,00:24:00,Finished Airing,TV,13,PG 13,"Fantasy,Adventure,Action",none,"Yomiuri TV Enterprise,Shueisha,Shun Produce,bilibili,FanFan Inc.",Pierrot Plus,151431,167,2019-04-07,2019-06-30,sun,22:00:00,Spring,2019
4401,Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko,00:30:00,Finished Airing,Movie,1,G,Sci-Fi,none,"Sony Music Entertainment,Shochiku",Triangle Staff,1079,2,1997-04-12,none,none,none,none,none
4402,Mirai e no Kakehashi: Bridge for Future,30 sec. per ep.,Finished Airing,ONA,6,G,Slice of Life,none,none,Gaina,749,0,Oct 1, 2015 to Aug 1,none,none,none,none
4403,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,00:24:00,Currently Airing,TV,13,R 17,"Action,Fantasy,Adventure",none,"TV Tokyo,Aniplex,Shueisha,Dentsu,Zack Promotion",Pierrot,131182,1544,2023-07-08,none,sat,23:00:00,Summer,2023
4404,Flying Witch Petit Special,00:02:00,Finished Airing,Special,1,PG 13,"Supernatural,Slice of Life",Sentai Filmworks,"VAP,Magic Capsule",domerica,8092,5,Jun 22, 2016,none,none,none,none
