,Anime,Members
Sports,330,18552504
none,784,2777558
Suspense,106,39106225
Ecchi,411,44588484
Award Winning,145,45965754
Gourmet,59,5815309
Avant Garde,288,7758842
Boys Love,63,2908862
Fantasy,2155,195140669
Supernatural,691,101488058
Romance,953,135931119
Sci-Fi,1341,89147470
Drama,1256,157695805
Action,2271,275998386
Mystery,440,56035475
Adventure,1617,131283244
Horror,232,24763655
Comedy,3069,174429531
Girls Love,57,3451246
Slice of Life,749,22926237
