Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Ponsuke no Haru,"Aug 1, 1934",none,00:07:00,Finished Airing,Movie,none,1,G,Comedy,none,none,none,739,0
Catblue: Dynamite,"Dec 22, 2006",none,00:42:00,Finished Airing,ONA,none,1,R 17,"Action,Fantasy",none,none,none,2070,1
Isekai Shoukan wa Nidome desu,"Apr 9, 2023 to Jun 25, 2023",Sundays at 02:00 (JST),00:23:00,Finished Airing,TV,Spring 2023,12,PG 13,"Romance,Adventure,Fantasy,Comedy",none,"ABC Animation,Jinnan Studio,BS11,Crest,Futabasha,Bushiroad Move",Studio Elle,119302,712
Young Black Jack,2015-10-02 2015-12-18,5 02:16:00,00:24:00,Finished Airing,TV,Fall 2015,12,PG 13,Drama,Sentai Filmworks,Being TBS Grooove,Tezuka Productions,82348,147
Salamander,"Feb 25, 1987 to Feb 25, 1989",none,00:53:00,Finished Airing,OVA,none,3,R+,"Adventure,Sci-Fi",none,Pony Canyon,Pierrot,1663,1
Walking Man,2002-01-01,none,00:06:00,Finished Airing,Movie,none,1,G,Avant Garde,none,none,none,915,0
Mahoujin Guruguru (2017),"2017-07-11,2017-12-20","wed,01:35:00",00:24:00,Finished Airing,TV,Summer 2017,24,PG 13,"Comedy,Fantasy,Adventure",none,"TV Tokyo,Magic Capsule,AT-X,Lantis,Sony Music Communications,Square Enix,Kadokawa Shoten",Production I.G,32213,244
Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,2013-03-16,none,01:11:00,Finished Airing,Movie,none,1,G,Action,none,Kinoshita Group Holdings,Toei Animation,4706,2
A-Girl,"Sep 24, 1993",none,00:31:00,Finished Airing,OVA,none,1,PG 13,Romance,none,Shueisha,Madhouse,3600,15
Shironeko Project: Zero Chronicle,"Apr 6, 2020 to Jun 22, 2020",Mondays at 22:00 (JST),00:23:00,Finished Airing,TV,Spring 2020,12,PG 13,"Adventure,Action,Fantasy",Funimation,"COLOPL,Kadokawa,NBCUniversal Entertainment Japan,GREE",Project No.9,91829,199
Platonic Chain: Web,"Sep 14, 2003",none,00:15:00,Finished Airing,Special,none,1,PG 13,"Sci-Fi,Slice of Life",none,none,ACiD FiLM,930,2
Tales of Symphonia The Animation: Tethe'alla-hen Specials,"2010-03-25,2011-02-25",none,00:06:00,Finished Airing,Special,none,4,G,Comedy,none,none,ufotable,7781,6
Gabrielle,2017-04-10,none,00:01:00,Finished Airing,Special,none,1,G,Avant Garde,none,HOTZIPANG,"add some,None found,",226,0
Mahou no Star Magical Emi: Semishigure,1986-09-21,none,01:00:00,Finished Airing,OVA,none,1,PG,Comedy,none,none,Pierrot,992,1
Mo Dao Zu Shi,"2018-07-09,2018-10-06",none,00:25:00,Finished Airing,ONA,none,15,R 17,"Mystery,Adventure,Drama,Action,Fantasy",none,"Tencent Penguin Pictures,Aniplex",B.CMAY PICTURES,219211,6352
Xiao Hou Yu Bai Pang,1958-01-01,none,00:14:00,Finished Airing,Movie,none,1,G,none,none,none,Shanghai Animation Film Studio,71,0
Mahoutsukai Reimeiki PV,"Mar 8, 2021",none,00:01:00,Finished Airing,ONA,none,1,PG 13,"Fantasy,Action",none,none,none,402,0
Youjo Senki: Senkyou Houkoku,2017-02-17,none,00:23:00,Finished Airing,Special,none,1,R 17,"Action,Fantasy",none,none,Nut,35334,34
Huoli Shaonian Wang 3,2010-01-01,none,00:24:00,Finished Airing,TV,?,40,G,none,none,Alpha Group Co. Ltd.,none,392,1
